Unnamed: 0,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,Anomaly_Score,Predicted_Label
5285,00400508,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216758.0,0.0,1.0,35,10202000,MM,00400508,2000,,0,0,0,0,F,72.0,206,206.0,Z012,Z7,0,0,1000,,3000,3000.0,5300216758.0,0.0,1,35,010202000,MM,0.2366666666666666,1
5298,00400586,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300019643.0,0.0,1.0,14,10203000,MM,00400586,700464,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1000,,2100,,5300019643.0,0.0,1,14,010203000,MM,0.2388690476190476,1
5380,00400731,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300216939.0,0.0,1.0,28,10205000,MM,00400731,2000,,0,0,0,0,F,72.0,206,206.0,Z012,Z1,0,0,1000,,3000,3000.0,5300216939.0,0.0,1,28,010205000,MM,0.17,1
5387,00401089,702533,,0,,,,F,,206,206.0,Z001,Z7,10000.0,113.0,1000,,2000,,5300109346.0,0.0,1.0,21,10201000,MM,00401089,702533,,0,0,0,0,F,,206,206.0,Z001,Z7,10000,113,1000,,2000,,5300109346.0,0.0,1,21,010201000,MM,0.16,1
5497,00400416,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300018182.0,0.0,1.0,14,10301000,MM,00400416,700464,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,1000,,2100,,5300018182.0,0.0,1,14,010301000,MM,0.2388690476190476,1
5510,30010495,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E11,2000,,5300122998.0,0.0,1.0,5,550100000,ST,30010495,1900,,0,0,0,0,F,,206,206.0,Z001,Y4,0,0,1000,E11,2000,,5300122998.0,0.0,1,5,550100000,ST,0.2148383838383838,1
5607,00400092,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300016390.0,0.0,1.0,14,10201000,MM,00400092,700464,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1000,,2100,,5300016390.0,0.0,1,14,010201000,MM,0.2388690476190476,1
5680,00400109,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300016576.0,0.0,1.0,14,10201000,MM,00400109,700464,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,1000,,2000,,5300016576.0,0.0,1,14,010201000,MM,0.2388690476190476,1
5688,00402227,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217623.0,0.0,1.0,30,10202000,MM,00402227,2000,,0,0,0,0,F,72.0,206,206.0,Z012,Z7,0,0,1000,,3000,3000.0,5300217623.0,0.0,1,30,010202000,MM,0.17,1
5731,00402222,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217622.0,0.0,1.0,30,10202000,MM,00402222,2000,,0,0,0,0,F,72.0,206,206.0,Z012,Z7,0,0,1000,,3000,3000.0,5300217622.0,0.0,1,30,010202000,MM,0.17,1
