,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly,if_anomaly
450,00110944,2000,,0,,,,F,40.0,203,203.0,Z012,Y9,20.0,8842.0,1,E13,3000,3000.0,5300145766.0,0.0,1.0,98,070700000,ST,1,1
421,60107465,2000,,0,,,,F,40.0,224,224.0,Z012,Z5,,,1,,3000,3000.0,5300530022.0,0.0,1.0,10,00,ST,1,1
917,00340462,2000,,0,,,,F,40.0,707,707.0,Z012,Z2,,,100,,3000,3000.0,5300209828.0,0.0,1.0,999,080900000,ST,1,1
390,60028902,2100,,0,,,,F,41.0,989,205.0,Z012,Z1,,,1,,3000,3000.0,5300520046.0,0.0,1.0,999,010401000,ST,1,1
299,21316404UB,715646,,0,,,,F,40.0,228,228.0,Z010,Y2,,,1,E11,3000,,5300503032.0,0.0,1.0,42,10102000,ST,0,1
722,00401958,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300090002.0,0.0,1.0,21,010300000,MM,0,1
936,60090231,716501,,0,,,,F,,216,216.0,Z012,Y6,1780.0,613744.0,1,E13,3000,,5300472459.0,0.0,1.0,35,130000000,ST,1,1
415,60017818,2100,,0,,,,F,41.0,224,224.0,Z012,TB,,,1,,3000,3000.0,5300368056.0,0.0,1.0,42,010403000,ST,1,1
397,95194466,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,100,,3000,3000.0,5300314323.0,0.0,1.0,999,10102000,ST,1,1
468,36021101,706647,,0,,,,F,,272,272.0,Z012,Z7,160.0,3937.0,100,,3000,,5300171496.0,0.0,1.0,112,100100000,ST,1,1
672,95060059,2000,,0,,,,F,72.0,223,223.0,Z012,Y4,,,1,E12,3000,3000.0,5300301191.0,0.0,1.0,28,10102000,ST,1,1
660,00300149,707605,,0,,,,F,,215,215.0,Z001,V8,,,1,E98,2100,,5300503561.0,0.0,1.0,28,090300000,ST,0,1
898,24582012,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,100,,3000,3000.0,5300249199.0,0.0,1.0,84,10102000,ST,1,1
997,21332600,2000,,0,,,,F,40.0,252,252.0,Z012,Z4,,,1,,3000,3000.0,5300228227.0,0.0,1.0,999,550100000,ST,1,1
639,00100828,700222,,0,,,,F,,208,208.0,Z011,Y9,,,100,E11,2100,,5300116592.0,0.0,1.0,21,070300000,ST,0,1
107,00120736,705086,,0,,,,F,,708,708.0,Z010,Y2,,,1,E15,2100,,5300359716.0,0.0,1.0,42,070400000,ST,0,1
33,04104965,702779,,0,,,,F,,206,206.0,Z001,Z1,10.0,99.0,100,,2000,,5300104645.0,0.0,1.0,14,080600000,ST,0,1
492,34991600UB,2000,,0,,,,F,40.0,213,213.0,Z012,Z1,,,1,,3000,3000.0,5300286672.0,0.0,1.0,42,10403000,ST,1,1
371,34760802UB,1000,,0,,,,F,,991,991.0,Z008,TB,,,1,,3000,,5300046917.0,0.0,1.0,3,10102000,ST,0,1
846,34071013UB,2000,,0,,,,F,40.0,223,223.0,Z012,Z7,,,100,,3000,3000.0,5300277042.0,0.0,1.0,35,10102000,ST,1,1
673,23309102,2000,,0,,,,F,40.0,206,206.0,Z001,Z7,20.0,1355.0,100,,3000,3000.0,5300232798.0,0.0,1.0,40,130000000,ST,1,1
36,00310420,700095,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300001586.0,0.0,40.0,84,030202000,ST,0,1
950,01434365,2000,,0,,,,F,40.0,211,211.0,Z012,Y3,,,1,E14,3000,3000.0,5300223020.0,0.0,1.0,35,10502000,ST,1,1
627,36068302,2000,,0,,,,F,40.0,990,990.0,Z012,Z1,,,100,,3000,3000.0,5300291708.0,0.0,1.0,999,00,ST,1,1
954,00394113,701979,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2000,,5300171198.0,0.0,1.0,30,520300000,ST,0,1
239,00190527,702586,,0,,,,F,,203,203.0,Z010,Y2,170.0,68.0,100,E11,2000,,5300150879.0,0.0,1.0,180,140700000,ST,0,1
861,04006079,1900,,0,,,,F,40.0,206,206.0,Z001,Z1,,,100,,2100,,5300142583.0,0.0,1.0,3,070300000,ST,0,1
870,23875700,2000,,0,,,,F,40.0,224,224.0,Z012,EX,,,1,,3000,3000.0,5300239273.0,0.0,1.0,42,010401000,ST,1,1
609,21520210,701263,,0,,,,F,,223,223.0,Z001,Z1,,,1,,2100,,5300037421.0,0.0,1.0,14,010103000,ST,0,1
581,60069565,700230,,0,,,,F,,219,219.0,Z001,Z1,,,1,,2100,,5300459125.0,0.0,1.0,84,100202000,ST,1,1
290,60029908,700066,,0,,,,F,,203,203.0,Z011,Y5,140.0,2447.0,100,E11,3000,,5300455344.0,0.0,1.0,84,010102000,ST,1,1
303,60062354,1900,,0,,,,F,,277,277.0,Z012,Z7,,,1,,3000,,5300449358.0,0.0,1.0,61,060100000,ST,1,1
677,00270326,700023,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2100,,5300008382.0,0.0,1.0,21,130600000,ST,0,1
967,04004456,700417,,0,,,,F,,707,707.0,Z003,Y4,1610.0,23946.0,1,E13,2000,,5300134372.0,0.0,1.0,28,LEEB,ST,0,1
643,80651712,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300196807.0,0.0,1.0,14,520100000,ST,1,1
904,35193793UB,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,100,,3000,3000.0,5300288704.0,0.0,1.0,999,010201000,ST,1,1
732,00400828,703555,,0,,,,F,42.0,203,203.0,Z001,Z1,,,1,,2100,,5300019069.0,0.0,,3,010401000,ST,0,1
518,60069083,2000,,0,,,,F,40.0,224,224.0,Z012,Z5,,,1,,3000,3000.0,5300434326.0,0.0,1.0,70,060200000,ST,1,1
930,00110456,2000,,0,,,,F,40.0,203,203.0,Z012,Z1,,,1,,3000,3000.0,5300201266.0,0.0,1.0,42,80500000,ST,1,1
103,80440908,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300383199.0,0.0,1.0,14,520100000,ST,0,1
755,60075728,708038,,0,,,,F,,215,215.0,Z001,Y6,50.0,56675.0,1,E11,3000,,5300459545.0,0.0,1.0,84,080100000,ST,0,1
992,60106154,702590,,0,,,,F,,203,203.0,Z008,Y6,40.0,4628.0,100,E11,2000,,5300524197.0,0.0,1.0,14,520100000,ST,0,1
629,04006472,1900,,0,,,,F,,206,206.0,Z001,Y4,,,100,E11,2000,,5300144835.0,0.0,2.0,5,070300000,ST,1,1
943,00265127,706808,,0,,,,F,,707,707.0,Z001,Z2,,,100,,2000,,5300108262.0,0.0,1.0,14,090300000,ST,0,1
743,21312003,2000,,0,,,,F,40.0,206,206.0,Z012,Z1,,,1,,3000,3000.0,5300227868.0,0.0,1.0,30,140700000,ST,1,1
442,24048402,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,100,,3000,3000.0,5300241852.0,0.0,1.0,999,010102000,ST,1,1
601,95184196UB,700000,,0,,,,F,30.0,223,223.0,Z001,V2,,,1,E19,2100,,5300167698.0,3.0,1.0,42,10401000,ST,0,1
224,34649800,715408,,0,,,,F,30.0,223,223.0,Z004,TB,,,1,,2000,,5300435486.0,3.0,1.0,56,010403000,ST,1,1
259,60056186,2000,,0,,,,F,40.0,224,224.0,Z012,Z5,,,1,,3000,3000.0,5300422221.0,0.0,1.0,70,010102000,ST,1,1
422,00130979,703334,,0,,,,F,,203,203.0,Z010,Y5,,,1,E14,2000,,5300076300.0,0.0,1.0,84,070200000,ST,0,1
968,00311354,702750,,0,,,,F,,203,203.0,Z011,Y5,1220.0,93055.0,100,E15,3000,,5300139111.0,0.0,1.0,210,030205000,ST,1,1
543,04003853,701112,,0,,,,F,,206,206.0,Z001,Z2,,,1,,2100,,5300109915.0,0.0,1.0,35,090400000,ST,1,1
210,60100796,2000,,0,,,,F,40.0,224,224.0,Z012,Z5,,,1,,3000,3000.0,5300529567.0,0.0,1.0,10,00,ST,1,1
115,23597200UB,2000,,0,,,,F,40.0,213,213.0,Z012,TB,,,1,,3000,3000.0,5300235429.0,0.0,1.0,42,10405000,ST,1,1
577,24017319,2000,,0,,,,F,40.0,224,224.0,Z012,EX,,,1,,3000,3000.0,5300241198.0,0.0,1.0,15,10102000,ST,1,1
226,60084826,709154,,0,,,,F,,219,219.0,Z001,Z1,,,1,,2100,,5300543910.0,0.0,1.0,70,10301000,ST,0,1
8,00400309,2000,,0,,,,F,72.0,206,206.0,Z012,Z9,,,1000,,3000,3000.0,5300216595.0,0.0,1.0,28,010304000,MM,1,1
929,60027631,702324,,0,,,,F,,208,208.0,Z008,Y4,480.0,2347.0,100,E14,2000,,5300389242.0,0.0,1.0,56,090300000,ST,0,1
188,00330276,2000,,0,,,,F,40.0,233,233.0,Z012,Y3,,,1,E13,3000,3000.0,5300209210.0,0.0,1.0,63,110400000,ST,1,1
680,95183820,2000,,0,,,,F,40.0,224,224.0,Z012,EX,,,1,,3000,3000.0,5300311979.0,0.0,1.0,42,10401000,ST,1,1
962,01160400,2000,,0,,,,F,40.0,224,224.0,Z012,Z7,,,1,,3000,3000.0,5300353710.0,0.0,1.0,28,551500000,ST,1,1
339,35020199,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1,E11,2000,,5300082205.0,0.0,1.0,5,010102000,ST,0,1
174,00345373,2100,,0,,,,F,41.0,215,215.0,Z012,Z5,10.0,61036.0,1,,3000,2000.0,5300197012.0,0.0,1.0,70,080300000,ST,1,1
60,23506500UB,1000,,0,,,,F,,991,991.0,Z008,TB,,,1,,3000,,5300062578.0,0.0,1.0,3,10402000,ST,0,0
458,23872850UB,700000,,0,,,,F,,723,723.0,Z001,X3,,,100,E20,2000,,5300152289.0,0.0,1.0,35,010401000,ST,0,0
83,34186901UB,702225,,0,,,,F,,221,221.0,Z001,Z7,,,1,,2100,,5300048646.0,0.0,1.0,28,10102000,ST,0,0
532,30076301,1900,,0,,,,F,,206,206.0,Z001,Y4,,,100,E11,2000,,5300095725.0,0.0,1.0,5,010102000,ST,0,0
640,00311060,703080,,0,,,,F,,233,233.0,Z011,Y3,,,100,E13,2000,,5300005291.0,0.0,1.0,42,140700000,ST,0,0
10,23875053,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,100,,3000,3000.0,5300239243.0,0.0,1.0,999,010102000,ST,1,0
329,23012200UB,1000,,0,,,,F,,991,991.0,Z008,TB,,,1,,3000,,5300062106.0,0.0,1.0,3,10401000,ST,0,0
803,00384028,2100,,0,,,,F,41.0,203,203.0,Z012,Y5,1010.0,282674.0,100,E11,3000,,5300368806.0,0.0,1.0,140,130100000,ST,1,0
76,04001158,706261,,0,,,,F,,272,272.0,Z012,Y4,910.0,1841.0,100,E13,3000,,5300160822.0,0.0,1.0,14,140300000,ST,1,0
919,00370942,706261,,0,,,,F,,264,264.0,Z010,Y4,,,100,E11,2000,,5300185177.0,0.0,1.0,21,140100000,ST,0,0
211,60097046,2000,,0,,,,F,40.0,224,224.0,Z012,Z5,,,1,,3000,3000.0,5300500276.0,0.0,1.0,10,10401000,ST,1,0
