Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE-Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit
34032605,703929,,0,0,0,0,F,30.0,993,992.0,Z001,Z1,0,0,1,,2000,,5300415313.0,3.0,1,7,010301000,ST
60080559,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,0,0,100,,3000,3000.0,5300462576.0,0.0,1,10,10102000,ST
30034437,1900,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,100,,2000,,5300078798.0,0.0,1,5,010102000,ST
24655700,2000,,0,0,0,0,F,40.0,224,224.0,Z012,EX,0,0,1,,3000,3000.0,5300251101.0,0.0,1,42,10401000,ST
30020779,1900,,0,0,0,0,F,,272,272.0,Z012,Y4,20,1919,1000,E11,3000,,5300133595.0,0.0,1,56,010300000,ST
24479406,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300247786.0,0.0,1,999,010102000,ST
23921102,700000,,0,0,0,0,F,,723,723.0,Z001,X3,160,34271,100,E20,2000,,5300112403.0,0.0,1,35,010502000,ST
60012512,700151,,0,0,0,0,F,,233,233.0,Z011,Y4,160,23452,100,E15,2100,,5300378186.0,0.0,1,42,060100000,ST
00150114,700417,,0,0,0,0,F,,707,707.0,Z003,Y9,1920,118266,1,E13,2100,,5300015463.0,0.0,1,28,140700000,ST
00300072,703335,,0,0,0,0,F,,219,219.0,Z001,Z1,0,0,1,,2000,,5300016068.0,0.0,15,42,140300000,ST
30119300,1900,,0,0,0,0,F,,272,272.0,Z012,Z7,0,0,1,,3000,,5300370915.0,0.0,1,35,010401000,ST
60128403,702225,,0,0,0,0,F,,213,213.0,Z008,Z1,0,0,1,,3000,,5300547405.0,0.0,1,56,10401000,ST
36021103,700151,,0,0,0,0,F,,233,233.0,Z011,Y4,0,0,100,E13,2000,,5300170368.0,0.0,1,28,060100000,ST
00270177,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,0,0,1,,3000,3000.0,5300205941.0,0.0,1,21,130000000,ST
23246600UB,1000,,0,0,0,0,F,,991,991.0,Z008,Z4,0,0,1,,2100,,5300058081.0,0.0,1,42,10401000,ST
00371193,700020,,0,0,0,0,F,,208,208.0,Z011,X4,2100,585,100,E20,3000,,5300150882.0,0.0,1,14,140100000,ST
00270297,701348,,0,0,0,0,F,,206,206.0,Z012,Z1,140,3812,1,,3000,,5300008263.0,0.0,1,14,131400000,ST
30098700,1900,,0,0,0,0,F,,272,272.0,Z012,Z1,10,4513,1,,3000,,5300148662.0,0.0,1,33,010501000,ST
00394299,2000,,0,0,0,0,F,40.0,206,206.0,Z012,Y4,0,0,1,E12,3000,3000.0,5300216361.0,0.0,1,30,530104000,ST
28126200UB,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,3000,,5300064244.0,0.0,1,3,10403000,ST
00390745,701230,,0,0,0,0,F,,206,206.0,Z012,Z1,60,7523,1,,3000,,5300115952.0,0.0,1,30,530000000,ST
24468200UB,704926,,0,0,0,0,F,,223,223.0,Z001,Z6,0,0,1,,2000,,5300173169.0,0.0,1,42,10402000,ST
00386035,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y5,50,691,100,E11,3000,3000.0,5300214871.0,0.0,1,20,120000000,ST
04004060,707779,,0,0,0,0,F,,206,206.0,Z001,Z2,0,0,1,,2000,,5300124539.0,0.0,1,42,100202000,ST
00311440,2000,,0,0,0,0,F,40.0,233,233.0,Z012,Y2,0,0,1,E13,3000,3000.0,5300208916.0,0.0,1,70,110100000,ST
60051100,711636,,0,0,0,0,F,,228,228.0,Z010,Y3,0,0,100,E13,2100,,5300552278.0,0.0,1,28,10102000,ST
60079662,700000,,0,0,0,0,F,,223,223.0,Z001,V3,0,0,1,E19,2100,,5300464093.0,0.0,1,42,10100000,ST
34631700UB,701528,,0,0,0,0,F,30.0,233,233.0,Z011,Y6,0,0,1,E15,2100,,5300057938.0,0.0,1,28,10401000,ST
